item_id,name,description,summary
99,Kal_wrnw,Genre : Nu Skool Breaks\nArtist : Lee Zu,
100,End of the Moonlight,Genre : Techno Pop\nArtist : Forte Escape,
101,XEUS,Genre : Melodic Trance\nArtist : XeoN,
102,D2,Genre : Progressive\nArtist : FIRST AID,
103,Deborah,Genre : Komplextro\nArtist : Paul Bazooka,
104,Liar,Genre : Techno Trance\nArtist : zts,
105,Sunny Side,Genre : Bright RnB\nArtist : CROOVE,
106,"Propose, Flower, Wolf PART.2",Genre : Progressive\nArtist : ReX,
107,Play The Future,Genre : Electro House\nArtist : Urbatronic Chopsticks,
108,Landscape,Genre : Melodic Trance\nArtist : Tsukasa,
109,Dear My Lady,Genre : HI-NRG\nArtist : Oriental ST8,
110,Beyond The Future,Genre : Technical House\nArtist : 7 Sequence,
111,Access,Genre : Techno Trance\nArtist : Sphazer,
112,Coastal Tempo,Genre : Up Tempo\nArtist : 3rd Coast,
113,Enemy Storm,Genre : Hardcore\nArtist : CROOVE,
114,SuperSonic,Genre : SpeedCore\nArtist : Planetboom,
115,Cozy Quilt,Genre : Jazz House\nArtist : bermei.inazawa,
116,Jupiter Driving,Genre : Techno Stock\nArtist : xxdbxx,
117,Give Me 5,Genre : Soulful House\nArtist : NDLee,
118,Dream Again,Genre : Ani Pop\nArtist : DINY,
119,Feel Ma Beat,Genre : Rap Metal\nArtist : NieN,
120,Memory of Beach,Genre : Dance Pop\nArtist : M2U,
121,The Clear Blue Sky,Genre : J-POP\nArtist : Tsukasa,
122,Jealousy,Genre : Marble House\nArtist : 3rd coast,
123,Whiteblue,Genre : Trance\nArtist : zts,
124,Honeymoon,Genre : Acid Pop\nArtist : Humming Urban Stereo,
125,Chemical Slave,Genre : Euro Dance\nArtist : XeoN,
126,Put'Em Up,Genre : Reggaeton-Like\nArtist : makou,
127,Cypher Gate,Genre : Hi-Break Core\nArtist : 7 Sequence,
128,Luv Flow (Funky House Mix),Genre : Funky House\nArtist : Paul Bazooka,
129,XLASHER,Genre : Slash Core\nArtist : Hosoe Shinji,
130,Say It From Your Heart,Genre : Classic Handbag\nArtist : makou,
131,Bamboo on Bamboo,Genre : Gabba\nArtist : Sampling Masters MEGA,
132,Fallin' in LUV,Genre : Luv Pop\nArtist : 3rd Coast,
133,Colours of Sorrow,Genre : Colours POP\nArtist : Tsukasa,
134,area7,Genre : Trance\nArtist : Sphazer,
135,outofctrl,Genre : Drum & Bass\nArtist : Mr.Funky,
136,rockstar,Genre : Electro House\nArtist : Mr.Funky,
137,Dark Prism,Genre : Melodic Trance\nArtist : Tsukasa,
138,Right Back,Genre : UK Hardcore\nArtist : TANUKI,
139,Grave Consequence,Genre : DNB Trance\nArtist : Tsukasa,
140,Beat U Down,Genre : Euro Beat\nArtist : makou,
141,BEE-U-TIFUL,Genre : Drum'n Bass\nArtist : FIRST AID,
142,Sweet Dream,Genre : House Dance\nArtist : Lin-G,
143,Showdown,Genre : Brass Funk\nArtist : LeeZu,
144,AD2222,Genre : Junkno\nArtist : CROOVE,
145,Over the Rainbow,Genre : Ani Pop\nArtist : Tsukasa,
146,Fly Away,Genre : Trance\nArtist : XeoN,
147,Wanna Be Your Lover,Genre : Euro Dance\nArtist : Laurent Newfield,
148,SuperNova,Genre : Rave\nArtist : cranky,
149,The Rain Maker,Genre : Epic Trance\nArtist : Paul Bazooka,
150,IF,Genre : Rock\nArtist : Vanilla Unity,
151,Melody,Genre : Cute POP\nArtist : bermei.inazawa/UC,
152,The Last Dance,Genre : india Hip-Hop\nArtist : Urbatronic Chopsticks,
153,Secret World,Genre : Teenpop\nArtist : Sweetune,
154,Lovely Hands,Genre : Space Pop\nArtist : Planetboom,
155,Ready Now,Genre : Euro Dance\nArtist : Ruby Tuesday,
156,Voyage,Genre : Broken Beat\nArtist : makou,
157,Shoreline,Genre : Balearic House\nArtist : Oriental ST8,
158,In My Dream,Genre : Mental Metal\nArtist : NDLee,
159,glory day,Genre : J-Rock\nArtist : BEXTER x Mycin.T,
160,glory day (Japanese Version),Genre : J-Rock\nArtist : BEXTER x Mycin.T,
161,Over Your Dream,Genre : Pop Rock\nArtist : xxdbxx,
162,Mind Control,Genre : Modern Hard Rock\nArtist : NieN,
163,The One,Genre : Happy 2Step\nArtist : Paul Bazooka,
164,Break!,Genre : Synth Pop Rock\nArtist : Mr.Funky,
165,A.I,Genre : Techno\nArtist : Forte Escape,
166,Nova (Mr.Funky Remix),Genre : Nu Skool Breakz\nArtist : Mr.Funky,
167,Zet (Mr.Funky Remix) ,Genre : Indie Dance\nArtist : Mr.Funky,
168,Masai (Electro House Mix),Genre : Electro House\nArtist : Paul Bazooka,
169,Enemy Storm (Dark Jungle Mix),Genre : Dark Jungle\nArtist : Paul Bazooka,
170,NB Ranger - Virgin Force,Genre : Hard Rock\nArtist : NieN,
171,NB POWER,Genre : AniRock\nArtist : NieN,
172,Hamsin,Genre : Trance\nArtist : makou,
173,OBLIVION (Rockin' Night Style),Genre : Rock\nArtist : NieN,
174,Lemonade,Genre : Lounge DnB\nArtist : M2U,
175,Silent Clarity,Genre : Art CORE\nArtist : Tsukasa,
176,NANO RISK,Genre : DnB Core\nArtist : Dayz,
177,Rolling On the Duck,Genre : Core & Metal\nArtist : NieN,
178,Don't Die,Genre : Drum'n Bass\nArtist : Paul Bazooka,
179,Remains Of Doom,Genre : Industrial Rock\nArtist : NieN,
180,CLOSER,Genre : Pure House\nArtist : 3rd Coast,
181,A Life With You,Genre : Broken Beat\nArtist : makou,
182,Nevermind,Genre : Epic Trance\nArtist : Paul Bazooka,
183,Binary World,Genre : Melodic Trance\nArtist : Tsukasa,
184,JBG,Genre : Yellow Hiphop\nArtist : CROOVE,
185,GET OUT,Genre : RnB Hip Hop\nArtist : NDLee,
186,Can We Talk,Genre : Acid jazz\nArtist : Forte Escape,
187,Never Ending TECHNIKA,Genre : Electro Funk\nArtist : Studio LAY-BACK,
188,Child of Night,Genre : Electro House\nArtist : GOTH,
189,KILLER BEE,Genre : Trap Hop\nArtist : GOTH,
190,Shadow Flower,Genre : Pop\nArtist : ned,
191,U.A.D,Genre : Future House\nArtist : HAYAKO,
10001,Q Starter Pack,"Consist of Music pack 1~3, Black note, Anti Gameover, Blue Jean Skin.","3 Music Packs\nItem, Note, Skin?8,9,10,11,12,13,14,15,16,17,18,19,40001,90006,100006"
10002,Q Power Pack,"Consist of Music pack 1~5, NB Ranger note, Blue Jean, Leopard Skin.","5 Music Packs\nNote, Skin?8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,40001,90007,100006,100007"
10003,Q Premium Pack,"Consist of Music pack 1~8, Crystal note, Blue Jean, Leopard, Hard-boiled Skin.","8 Music Packs\nNote, Skin?8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40001,90008,100006,100007,100008"
10004,Q Complete BOX,"Consist of Music pack 1~11, Exclusive skin, exclusive 4 new songs! Now on sale with amazing price!!","11 Music Packs\nExclusive Songs, Skin?8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,40001,90006,90007,90008,100006,100007,100008,100009"
11001,NEW STARTER PACK,NEW STARTER PACK,
11002,HYBRID PACK,HYBRID PACK,
11003,SUPER VALUE 30,SUPER VALUE 30,
11004,CHRISTMAS PACK,CHRISTMAS PACK,
11005,4 LINE STARTER PACK,4 LINE STARTER PACK,
11006,Director's Choice PACK,Director's Choice PACK,
11007,OLD & NEW Pack,OLD & NEW Pack,
20001,Q Music Pack 1,Q Music Pack 1\nConsist of 4 songs.,"8,9,10,11"
20002,Q Music Pack 2,Q Music Pack 2\nConsist of 4 songs.,"12,13,14,15"
20003,Q Music Pack 3,Q Music Pack 3\nConsist of 4 songs.,"16,17,18,19"
20004,Q Music Pack 4,Q Music Pack 4\nConsist of 4 songs.,"20,21,22,23"
20005,Q Music Pack 5,Q Music Pack 5\nConsist of 4 songs.,"24,25,26,27"
20006,Q Music Pack 6,Q Music Pack 6\nConsist of 4 songs.,"28,29,30,31"
20007,Q Music Pack 7,Q Music Pack 7\nConsist of 4 songs.,"32,33,34,35"
20008,Q Music Pack 8,Q Music Pack 8\nConsist of 4 songs.,"36,37,38,39"
20009,Q Music Pack 9,Q Music Pack 9\nConsist of 4 songs.,"40,41,42,43"
20010,Q Music Pack 10,Q Music Pack 10\nConsist of 4 songs.,"44,45,46,47"
20011,Q Music Pack 11,Q Music Pack 11\nConsist of 4 songs.,"48,49,50,51"
20012,Q Music Pack 12,Q Music Pack 12\nConsist of 4 songs.,"56,57,59,72"
20013,Q Music Pack 13,Q Music Pack 13\nConsist of 4 songs.,"60,61,62,63"
20014,Q Music Pack 14,Q Music Pack 14\nConsist of 4 new songs which were exclusive for Complete Box.,"52,53,54,55"
20015,Q Music Pack 15,Q Music Pack 15\nConsist of 4 songs.,"64,65,67,73"
20016,Q Music Pack 16,Q Music Pack 16\nConsist of 4 songs.,"74,75,76,77"
20017,Q Music Pack 17,Q Music Pack 17\nConsist of 4 songs.,"78,79,80,81"
20018,Q Music Pack 18,Q Music Pack 18\nConsist of 4 songs.,"82,83,84,85"
20019,Q Music Pack 19,Q Music Pack 19\nConsist of 4 songs.,"58,66,86,87"
20020,Q Music Pack 20,Q Music Pack 20\nConsist of 4 songs.,"68,69,70,71"
20021,Q Music Pack 21,Q Music Pack 21\nConsist of 4 songs.,"88,89,90,91"
20022,Q Music Pack 22,Q Music Pack 22\nConsist of 4 songs.,"92,93,94,95"
20023,Q Music Pack 23,Q Music Pack 23\nConsist of 4 songs.,"96,97,98,99"
20024,Q Music Pack 24,Q Music Pack 24\nConsist of 4 songs.,"100,101,102,103"
20025,Q Music Pack 25,Q Music Pack 25\nThis pack can be played for free without purchasing.,"104,105,106,107"
20026,Q Music Pack 26,Q Music Pack 26\nConsist of 4 songs.,"108,109,110,111"
20027,Q Music Pack 27,Q Music Pack 27\nConsist of 4 songs.,"112,113,114,115"
20028,Q Music Pack 28,Q Music Pack 28\nConsist of 4 songs.,"116,117,118,119"
30001,Jimmy,提升经验值的\n伙伴商品。,EXP + {0}%
30002,Xiah,提升经验值的\n伙伴商品。,EXP + {0}%
30003,SingSing,提升经验值的\n伙伴商品。,EXP + {0}%
30004,Jessie,提升经验值的\n伙伴商品。,EXP + {0}%
30005,Stella,提升经验值的\n伙伴商品。,EXP + {0}%
30006,Squarehead,获得更多MAX值的\n伙伴商品。,MAXPOINT + {0}%
30007,Eggbean,获得更多MAX值的\n伙伴商品。,MAXPOINT + {0}%
30008,TED,获得更多MAX值的\n伙伴商品。,MAXPOINT + {0}%
30009,Kaho,获得更多MAX值的\n伙伴商品。,MAXPOINT + {0}%
30010,Planeta,获得更多MAX值的\n伙伴商品。,MAXPOINT + {0}%
30011,Miran,提高生命恢复速率的\n伙伴商品。,RECOVER + {0}%
30012,Blackswan,提高生命恢复速率的\n伙伴商品。,RECOVER + {0}%
30013,Angel,提高生命恢复速率的\n伙伴商品。,RECOVER + {0}%
30014,Lin,提高生命恢复速率的\n伙伴商品。,RECOVER + {0}%
30015,H.J,提高生命恢复速率的\n伙伴商品。,RECOVER + {0}%
30016,Knight,增加所有生命值的\n伙伴商品。,HP + {0}
30017,Gina.D,增加所有生命值的\n伙伴商品。,HP + {0}
30018,Dana,增加所有生命值的\n伙伴商品。,HP + {0}
30019,Rossi,增加所有生命值的\n伙伴商品。,HP + {0}
30020,Seha,增加所有生命值的\n伙伴商品。,HP + {0}
39001,Jimmy,提升经验值的\n伙伴商品。(赠品),
39002,Squarehead,获得更多MAX值的\n伙伴商品。(赠品),
39003,Miran,提高生命恢复速率的\n伙伴商品。(赠品),
39004,Knight,增加所有生命值的\n伙伴商品。(赠品),
39101,Squarehead,获得更多MAX值的\n伙伴商品。(赠品),
40001,Anti Gameover,生命值即使变0，\n游戏不会在音乐播放过程中结束。,No Gameover
40002,Anti Effector,解除游戏强制的\n效果设定。,No Forced-effects
49001,Anti Gameover,生命值即使变0，\n游戏不会在音乐播放过程中结束。(赠品),No Gameover
49002,Anti Gameover,生命值即使变0，\n游戏不会在音乐播放过程中结束。(赠品),No Gameover
50001,2500 MAX,充值\n 2500 MAX POINT。,充值 {0} MAX
50002,13250 MAX,充值\n 13250 MAX POINT。,充值 {0} MAX
50003,27500 MAX,充值\n 27500 MAX POINT。,充值 {0} MAX
50004,43125 MAX,充值\n 43125 MAX POINT。,充值 {0} MAX
50005,75000 MAX,充值\n 75000 MAX POINT。,充值 {0} MAX
59001,150 MAX,充值\n MAX POINT。,
59002,3000 MAX,送 MAX POINT 作为礼物。,
59003,2500 MAX,送 MAX POINT 作为礼物。,
59004,10000 MAX,送 MAX POINT 作为礼物。,
59005,30000 MAX,送 MAX POINT 作为礼物。,
59006,1000 MAX,送 MAX POINT 作为礼物。,
59007,5000 MAX,送 MAX POINT 作为礼物。,
59008,50000 MAX,包含在礼包的 MAX POINT。,
59009,10000 MAX,包含在礼包的 MAX POINT。,
59010,100000 MAX,Includes SKIN ITEM reward,
59101,1500 MAX,送 MAX POINT 作为礼物。,
60001,10 Q,充值\n 10 Q POINT。,充值 {0} Q
60002,60 Q,充值\n 60 Q POINT。,充值 {0} Q
60003,165 Q,充值\n 165 Q POINT。,充值 {0} Q
60004,350 Q,充值\n 350 Q POINT。,充值 {0} Q
60005,540 Q,充值\n 540 Q POINT。,充值 {0} Q
60006,750 Q,充值\n 750 Q POINT。,充值 {0} Q
60007,12 Hours FREE PASS,您可以免费使用所有歌曲，直到使用结束。\n[9EEC32]FREE PASS的效果在购买后立即应用。[-],ALL SONG & PATTERN\nFREE PLAY
61001,10 Q,发送 Q POINT 作为礼物。,
61002,20 Q,发送 Q POINT 作为礼物。,
61003,50 Q,发送 Q POINT 作为礼物。,
61004,100 Q,发送 Q POINT 作为礼物。,
61005,150 Q,发送 Q POINT 作为礼物。,
61006,200 Q,发送 Q POINT 作为礼物。,
61007,250 Q,发送 Q POINT 作为礼物。,
61008,300 Q,发送 Q POINT 作为礼物。,
62001,30 Q,包含在礼包的 Q POINT。,
62002,70 Q,包含在礼包的 Q POINT。,
70001,ANTI BREAK Lv.1,将 BREAK 更改为 MAX 1%。(1次),
70002,ANTI BREAK Lv.2,将 BREAK 更改为 MAX 1%。(2次),
70003,ANTI BREAK Lv.3,将 BREAK 更改为 MAX 1%。(3次),
70004,ANTI BREAK Lv.4,将 BREAK 更改为 MAX 1%。(4次),
70005,ANTI BREAK Lv.5,将 BREAK 更改为 MAX 1%。(5次),
70006,ANTI BREAK Lv.6,将 BREAK 更改为 MAX 1%。(6次),
70007,ANTI BREAK Lv.7,将 BREAK 更改为 MAX 1%。(7次),
70008,ANTI BREAK Lv.8,将 BREAK 更改为 MAX 1%。(8次),
70009,ANTI BREAK Lv.9,将 BREAK 更改为 MAX 1%。(9次),
70010,ANTI BREAK Lv.10,将 BREAK 更改为 MAX 100%。(10次),
70011,FEVER PLUS Lv.1,FEVER 持续效果5.5秒。最多可用2次。,
70012,FEVER PLUS Lv.2,FEVER 持续效果6秒。最多可用2次。,
70013,FEVER PLUS Lv.3,FEVER 持续效果6.5秒。最多可用2次。,
70014,FEVER PLUS Lv.4,FEVER 持续效果7秒。最多可用2次。,
70015,FEVER PLUS Lv.5,FEVER 持续效果7.5秒。最多可用2次。,
70016,FEVER PLUS Lv.6,FEVER 持续效果8秒。最多可用2次。,
70017,FEVER PLUS Lv.7,FEVER 持续效果8.5秒。最多可用2次。,
70018,FEVER PLUS Lv.8,FEVER 持续效果9秒。最多可用2次。,
70019,FEVER PLUS Lv.9,FEVER 持续效果9.5秒。最多可用2次。,
70020,FEVER PLUS Lv.10,FEVER 持续效果10秒。最多可用3次。,
70021,GAUGE REFILL Lv.1,耗尽所有生命值后，回复总生命值的7%。,
70022,GAUGE REFILL Lv.2,耗尽所有生命值后，回复总生命值的14%。,
70023,GAUGE REFILL Lv.3,耗尽所有生命值后，回复总生命值的21%。,
70024,GAUGE REFILL Lv.4,耗尽所有生命值后，回复总生命值的28%。,
70025,GAUGE REFILL Lv.5,耗尽所有生命值后，回复总生命值的35%。,
70026,GAUGE REFILL Lv.6,耗尽所有生命值后，回复总生命值的42%。,
70027,GAUGE REFILL Lv.7,耗尽所有生命值后，回复总生命值的49%。,
70028,GAUGE REFILL Lv.8,耗尽所有生命值后，回复总生命值的56%。,
70029,GAUGE REFILL Lv.9,耗尽所有生命值后，回复总生命值的63%。,
70030,GAUGE REFILL Lv.10,耗尽所有生命值后，回复总生命值的100%。,
90001,Rainbow,花花绿绿的\nRainbow Note。,更改音符设计
90002,Mirrorball,充满炎热夜晚热气的\nMirror-ball Note。,更改音符设计
90003,Speaker,感受到动态节奏的\nSpeaker Note。,更改音符设计
90004,Radar,电子波为主题的\nRadar Note。,更改音符设计
90005,LED,为享受更智慧的游戏玩法\n所作成的LED Note。,更改音符设计
90006,Black,时尚魅力的\nBlack Note。,更改音符设计
90007,NB Ranger,DJMAX官方吉祥物，\nNB Ranger形状的Note。,更改音符设计
90008,Crystal,充满豪华贵气的\n水晶形状的Note。,更改音符设计
90009,Son of Sun,塑造为太阳之神形象的\nSon of Sun Note。,更改音符设计
91001,CHRISTMAS,HAPPY CHRISTMAS !\n无限提供的Note。,更改音符设计
99101,Crystal,充满豪华贵气的\n水晶形状的Note。,更改音符设计
100001,Yellow,黄色皮肤。\n适用于游戏屏幕上方区域。,更改皮肤设计
100002,Watermelon,西瓜颜色皮肤。\n适用于游戏屏幕上方区域。,更改皮肤设计
100003,Deepblue,深蓝色皮肤。\n适用于游戏屏幕上方区域。,更改皮肤设计
100004,Pink,粉红色皮肤。\n适用于游戏屏幕上方区域。,更改皮肤设计
100005,Red,红色皮肤。\n适用于游戏屏幕上方区域。,更改皮肤设计
100006,BlueJean,限定皮肤。\n适用于游戏屏幕上方区域。,更改皮肤设计
100007,Leopard,限定皮肤。\n适用于游戏屏幕上方区域。,更改皮肤设计
100008,Hardboiled,限定皮肤。\n适用于游戏屏幕上方区域。,更改皮肤设计
100009,Scratch,限定皮肤。\n适用于游戏屏幕上方区域。,更改皮肤设计
109101,Metal,邀请好友奖励限定皮肤。\n适用于游戏屏幕上方区域。,更改皮肤设计
109201,Wooden,优惠券礼物限定皮肤。\n适用于游戏屏幕上方区域。,更改皮肤设计
109202,Harbor,优惠券礼物限定皮肤。\n适用于游戏屏幕上方区域。,更改皮肤设计
110001,CHRISTMAS,HAPPY CHRISTMAS!\n适用于游戏屏幕上方区域。,更改皮肤设计
110002,Hello 2018,2018年限定皮肤。\n适用于游戏屏幕上方区域。,更改皮肤设计
110003,SNOW MADNESS,FEB.SNOW.PASSION.\n适用于游戏屏幕上方区域。,更改皮肤设计
110004,RED SQUARE,2018.06. Live It Up!! \n适用于游戏屏幕上方区域。,更改皮肤设计
110005,FULL MOON,中秋节快乐!\n适用于游戏屏幕上方区域。,更改皮肤设计
110006,TECHNICOLOR,We Love TECHNIKA!! \n适用于游戏屏幕上方区域。,更改皮肤设计
190001,Rainbow,花花绿绿的\nRainbow Note。,更改音符设计
190002,Mirrorball,充满炎热夜晚热气的\nMirror-ball Note。,更改音符设计
190003,Speaker,感受到动态节奏的\nSpeaker Note。,更改音符设计
190004,Radar,电子波为主题的\nRadar Note。,更改音符设计
190005,LED,为享受更智慧的游戏玩法\n所作成的LED Note。,更改音符设计
190006,Black,时尚魅力的\nBlack Note。,更改音符设计
190007,NB Ranger,DJMAX官方吉祥物，\nNB Ranger形状的Note。,更改音符设计
190008,Crystal,充满豪华贵气的\n水晶形状的Note。,更改音符设计
190009,Son of Sun,塑造为太阳之神形象的\nSon of Sun Note。,更改音符设计
190010,CHRISTMAS,HAPPY CHRISTMAS! \n无限提供的Note。,更改音符设计
190011,TECHNICOLOR,We Love TECHNIKA!! \n无限提供的Note。,更改音符设计
